2019-03-02 01:40:46,562 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:46,563 [I] Iter idx: 56, Qsize: 43	(at main.py:59) 
2019-03-02 01:40:46,564 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:46,747 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:46,748 [I] Iter idx: 57, Qsize: 42	(at main.py:59) 
2019-03-02 01:40:46,748 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:46,919 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:46,920 [I] Iter idx: 58, Qsize: 41	(at main.py:59) 
2019-03-02 01:40:46,920 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:47,106 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:47,106 [I] Iter idx: 59, Qsize: 40	(at main.py:59) 
2019-03-02 01:40:47,106 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:47,275 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:47,275 [I] Iter idx: 60, Qsize: 39	(at main.py:59) 
2019-03-02 01:40:47,276 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:47,439 [I] Response: [True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:47,440 [I] Iter idx: 61, Qsize: 38	(at main.py:59) 
2019-03-02 01:40:47,440 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:47,598 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:47,599 [I] Iter idx: 62, Qsize: 37	(at main.py:59) 
2019-03-02 01:40:47,600 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:47,761 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:47,762 [I] Iter idx: 63, Qsize: 36	(at main.py:59) 
2019-03-02 01:40:47,762 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:47,925 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:47,925 [I] Iter idx: 64, Qsize: 35	(at main.py:59) 
2019-03-02 01:40:47,925 [I] Curr factor: [1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
