2019-02-12 22:37:06,222 [D] └:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:06,241 [D] ┌:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:06,241 [D] |:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:06,241 [D] └:F:n:WD_3:mbe.c:36	(at logger.py:129) 
2019-02-12 22:37:06,260 [D] -:F:n:WD_1:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:06,285 [D] ┌:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:06,285 [D] └:F:n:WD_2:mbe.c:36	(at logger.py:129) 
2019-02-12 22:37:06,306 [D] ┌:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:06,306 [D] |:F:n:WD_3:mbe.c:36	(at logger.py:129) 
2019-02-12 22:37:06,306 [D] └:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:06,345 [D] -:P:c:WD_1:mbe.c:36	(at logger.py:129) 
2019-02-12 22:37:06,362 [D] -:F:n:WD_1:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:06,383 [D] ┌:F:n:WD_2:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:06,383 [D] └:F:n:WD_2:mbe.c:34	(at logger.py:129) 
2019-02-12 22:37:06,401 [D] ┌:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:06,401 [D] |:F:n:WD_3:mbe.c:34	(at logger.py:129) 
2019-02-12 22:37:06,401 [D] └:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:06,462 [D] -:P:n:WD_1:mbe.c:34	(at logger.py:129) 
2019-02-12 22:37:06,481 [D] -:F:n:WD_1:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:06,501 [D] ┌:F:n:WD_2:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:06,501 [D] └:F:n:WD_2:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:06,527 [D] ┌:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:06,527 [D] |:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:06,528 [D] └:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:06,545 [D] -:F:n:WD_1:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:06,565 [D] ┌:F:n:WD_2:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:06,565 [D] └:F:n:WD_2:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:06,582 [D] ┌:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:06,582 [D] |:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:06,583 [D] └:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:07,630 [D] -:C:n:WD_1:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:08,685 [D] ┌:C:n:WD_2:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:08,685 [D] └:C:n:WD_2:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:08,700 [D] ┌:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:08,700 [D] |:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:08,700 [D] └:F:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:08,748 [D] -:C:n:WD_1:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:08,770 [D] ┌:F:n:WD_2:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:08,770 [D] └:F:n:WD_2:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:08,788 [D] ┌:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:08,788 [D] |:F:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:08,788 [D] └:F:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:08,808 [D] -:F:n:WD_1:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:08,825 [D] ┌:F:n:WD_2:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:08,825 [D] └:F:n:WD_2:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:09,870 [D] ┌:C:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:09,870 [D] |:C:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:09,870 [D] └:C:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:09,915 [D] -:C:n:WD_1:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:09,933 [D] ┌:F:n:WD_2:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:09,933 [D] └:F:n:WD_2:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:09,949 [D] ┌:F:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:09,949 [D] |:F:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:09,950 [D] └:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:09,967 [D] -:F:n:WD_1:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:09,987 [D] ┌:F:n:WD_2:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:09,987 [D] └:F:n:WD_2:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:10,008 [D] ┌:F:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:10,009 [D] |:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:10,009 [D] └:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:11,055 [D] -:C:n:WD_1:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:11,071 [D] ┌:F:n:WD_2:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:11,071 [D] └:F:n:WD_2:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:11,087 [D] ┌:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:11,087 [D] |:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:11,087 [D] └:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:11,104 [D] -:F:n:WD_1:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:11,121 [D] ┌:F:n:WD_2:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:11,121 [D] └:F:n:WD_2:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:11,141 [D] ┌:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:11,141 [D] |:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:11,141 [D] └:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:11,158 [D] -:F:n:WD_1:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:11,177 [D] ┌:F:n:WD_2:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:11,178 [D] └:F:n:WD_2:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:11,196 [D] ┌:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:11,196 [D] |:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:11,196 [D] └:F:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:11,216 [D] -:F:n:WD_1:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:11,234 [D] ┌:F:n:WD_2:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:11,234 [D] └:F:n:WD_2:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:11,255 [D] ┌:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:11,255 [D] |:F:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:11,256 [D] └:F:n:WD_3:mbe.c:21	(at logger.py:129) 
